gameId,playId,nflId,displayName,frameId,frameType,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event
2022090800,2979,35472,Rodger Saffold,150,SNAP,2022-09-09 02:40:49.7,76,BUF,right,55.49,25.57,0.11,0.92,0.01,69.09,331.89,ball_snap
2022090800,2979,38577,Bobby Wagner,150,SNAP,2022-09-09 02:40:49.7,45,LA,right,61.28,24.48,0.05,0.02,0.01,268.67,16.69,ball_snap
2022090800,2979,41239,Aaron Donald,150,SNAP,2022-09-09 02:40:49.7,99,LA,right,57.45,27,0.1,1.06,0.01,232.31,296.92,ball_snap
2022090800,2979,42392,Mitch Morse,150,SNAP,2022-09-09 02:40:49.7,60,BUF,right,56.07,24.03,0.39,1.02,0.05,86.53,281.9,ball_snap
2022090800,2979,42489,Stefon Diggs,150,SNAP,2022-09-09 02:40:49.7,14,BUF,right,55.67,8.62,0,0,0.01,102.6,92.41,ball_snap
2022090800,2979,42816,Troy Hill,150,SNAP,2022-09-09 02:40:49.7,2,LA,right,61.45,32.81,1.36,0.07,0.14,288.26,353.23,ball_snap
2022090800,2979,43294,Jalen Ramsey,150,SNAP,2022-09-09 02:40:49.7,5,LA,right,63.63,8.28,0.37,0.91,0.04,294.07,108.64,ball_snap
2022090800,2979,43298,Leonard Floyd,150,SNAP,2022-09-09 02:40:49.7,54,LA,right,57.44,17.67,0.02,0.1,0.02,299.3,271.14,ball_snap
2022090800,2979,44875,Dion Dawkins,150,SNAP,2022-09-09 02:40:49.7,73,BUF,right,55.94,27.52,0.07,1.62,0.01,71.28,291.8,ball_snap
2022090800,2979,44985,Isaiah McKenzie,150,SNAP,2022-09-09 02:40:49.7,6,BUF,right,54.21,34.27,5.54,1.45,0.56,34.14,4.03,ball_snap
2022090800,2979,46076,Josh Allen,150,SNAP,2022-09-09 02:40:49.7,17,BUF,right,51.43,23.79,0.08,0.07,0.01,82.66,90.47,ball_snap
2022090800,2979,47844,Taylor Rapp,150,SNAP,2022-09-09 02:40:49.7,24,LA,right,72.32,34.75,2.28,1.29,0.22,294.99,39.61,ball_snap
2022090800,2979,47862,David Long,150,SNAP,2022-09-09 02:40:49.7,22,LA,right,58.76,42.41,1.66,1.55,0.17,264.38,268.26,ball_snap
2022090800,2979,47879,Dawson Knox,150,SNAP,2022-09-09 02:40:49.7,88,BUF,right,54.7,16.26,0,0,0.01,89.79,74.53,ball_snap
2022090800,2979,47917,Greg Gaines,150,SNAP,2022-09-09 02:40:49.7,91,LA,right,57.58,21.6,0.18,0.23,0.02,354.49,307.7,ball_snap
2022090800,2979,48026,Nick Scott,150,SNAP,2022-09-09 02:40:49.7,33,LA,right,67.84,16,0.1,0.08,0.03,259.55,109.22,ball_snap
2022090800,2979,48512,Ryan Bates,150,SNAP,2022-09-09 02:40:49.7,71,BUF,right,55.61,22.31,0,0,0,61.06,16.03,ball_snap
2022090800,2979,52492,Terrell Lewis,150,SNAP,2022-09-09 02:40:49.7,52,LA,right,57.72,30.54,0.24,2.05,0.01,225.54,253.68,ball_snap
2022090800,2979,52494,Zack Moss,150,SNAP,2022-09-09 02:40:49.7,20,BUF,right,51.61,26.29,0,0,0,92.36,231.51,ball_snap
2022090800,2979,52536,Gabe Davis,150,SNAP,2022-09-09 02:40:49.7,13,BUF,right,56,42.22,0,0.19,0.01,105.85,102.12,ball_snap
2022090800,2979,53522,Spencer Brown,150,SNAP,2022-09-09 02:40:49.7,79,BUF,right,55.63,20.73,0.05,0.88,0.01,101.29,268.79,ball_snap
2022090800,2979,53532,Ernest Jones,150,SNAP,2022-09-09 02:40:49.7,53,LA,right,59.8,16.67,0.1,0.44,0.01,281.91,274.25,ball_snap
2022090800,2979,NA,football,150,SNAP,2022-09-09 02:40:49.7,NA,football,right,56.5400009155273,23.8700008392334,0,0,0.0199999995529652,NA,NA,ball_snap
