token_order,GameId,PlayId,Team,X,Y,S,A,Dis,Orientation,Dir,NflId,DisplayName,JerseyNumber,Season,YardLine,Quarter,GameClock,PossessionTeam,Down,Distance,FieldPosition,HomeScoreBeforePlay,VisitorScoreBeforePlay,NflIdRusher,OffenseFormation,OffensePersonnel,DefendersInTheBox,DefensePersonnel,PlayDirection,TimeHandoff,TimeSnap,Yards,Position,HomeTeamAbbr,VisitorTeamAbbr,Week,IsRusher,ToLeft,TeamOnOffense,IsOnOffense,team_abbr,role,S_model,Dir_rad,X_std,Y_std,Dir_std,Sx,Sy,player_minus_rusher_x,player_minus_rusher_y,player_minus_rusher_Sx,player_minus_rusher_Sy,token_group,line_of_scrimmage_x_raw,line_of_scrimmage_x_std
1,2017100200,20171002002089,home,25.370000000000001,25.550000000000001,4.3499999999999996,3.3100000000000001,0.5,329.58999999999997,50.5,2557917,Kareem Hunt,27,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,RB,KC,WAS,4,True,False,home,True,KC,rusher,5,0.68940505453776013,25.370000000000001,25.550000000000001,0.68940505453776013,3.8581229169386,3.1803911013888198,0,0,0,0,0,31,31
2,2017100200,20171002002089,home,30.32,22.629999999999999,4.1900000000000004,2.3199999999999998,0.42999999999999999,325.26999999999998,19.390000000000001,2540258,Travis Kelce,87,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,TE,KC,WAS,4,False,False,home,True,KC,offense,4.2999999999999998,1.232376984833196,30.32,22.629999999999999,1.232376984833196,1.4275849646880683,4.056106651531314,-4.9499999999999993,2.9200000000000017,2.4305379522505319,-0.87571555014249425,1,31,31
3,2017100200,20171002002089,home,31.309999999999999,23.449999999999999,3.9100000000000001,1.55,0.34000000000000002,349.06999999999999,24.66,2532945,Mitchell Schwartz,71,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,T,KC,WAS,4,False,False,home,True,KC,offense,3.4000000000000004,1.140398133253095,31.309999999999999,23.449999999999999,1.140398133253095,1.418591226450002,3.0899189200105366,-5.9399999999999977,2.1000000000000014,2.439531690488598,0.090472181378283167,1,31,31
4,2017100200,20171002002089,home,26.5,24.960000000000001,3.3799999999999999,2.25,0.37,226.56999999999999,272.98000000000002,2506340,Alex Smith,11,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,QB,KC,WAS,4,False,False,home,True,KC,offense,3.7000000000000002,3.0895818418803618,26.5,24.960000000000001,3.0895818418803618,-3.6949966476543565,0.19235325269688253,-1.129999999999999,0.58999999999999986,7.5531195645929561,2.9880378486919374,1,31,31
5,2017100200,20171002002089,home,30.879999999999999,25.390000000000001,3.6800000000000002,1.5900000000000001,0.40999999999999998,341.63999999999999,29.010000000000002,2540247,Jordan Devey,65,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,T,KC,WAS,4,False,False,home,True,KC,offense,4.0999999999999996,1.0644763107913415,30.879999999999999,25.390000000000001,1.0644763107913415,1.988345277469395,3.585593822167418,-5.509999999999998,0.16000000000000014,1.8697776394692049,-0.4052027207785982,1,31,31
6,2017100200,20171002002089,home,31.98,26.309999999999999,3.3700000000000001,1.75,0.31,10.35,30.579999999999998,2543862,Zach Fulton,73,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,G,KC,WAS,4,False,False,home,True,KC,offense,3.1000000000000001,1.0370746415350307,31.98,26.309999999999999,1.0370746415350307,1.577096880198426,2.6688509569603904,-6.6099999999999994,-0.75999999999999801,2.2810260367401742,0.51154014442842932,1,31,31
7,2017100200,20171002002089,home,27.530000000000001,27.109999999999999,4.2199999999999998,2.5499999999999998,0.46999999999999997,338.56999999999999,39.649999999999999,2495340,Anthony Sherman,42,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,FB,KC,WAS,4,False,False,home,True,KC,offense,4.6999999999999993,0.87877327837914487,27.530000000000001,27.109999999999999,0.87877327837914487,2.9990518890253131,3.6187964528187679,-2.1600000000000001,-1.5599999999999987,0.85907102791328693,-0.43840535142994819,1,31,31
8,2017100200,20171002002089,home,30.890000000000001,27.960000000000001,2.8399999999999999,1.3,0.28999999999999998,334.86000000000001,14.279999999999999,2550606,Bryan Witzmann,70,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,T,KC,WAS,4,False,False,home,True,KC,offense,2.8999999999999999,1.3215633096101063,30.890000000000001,27.960000000000001,1.3215633096101063,0.71531616740559156,2.8103954847402126,-5.5199999999999996,-2.4100000000000001,3.1428067495330083,0.36999561664860714,1,31,31
9,2017100200,20171002002089,home,29.329999999999998,30.219999999999999,2.5499999999999998,1.1599999999999999,0.27000000000000002,295.87,338.48000000000002,2539213,Eric Fisher,72,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,T,KC,WAS,4,False,False,home,True,KC,offense,2.7000000000000002,1.9463911818240758,29.329999999999998,30.219999999999999,1.9463911818240758,-0.99043014974966159,2.5117818612425054,-3.9599999999999973,-4.6699999999999982,4.8485530666882619,0.6686092401463144,1,31,31
10,2017100200,20171002002089,home,32.049999999999997,35.560000000000002,3.7000000000000002,1.79,0.44,353.83999999999997,77.859999999999999,2550272,Albert Wilson,12,2017,21,3,14:53:00,KC,1,10,KC,7,10,2557917,I_FORM,"2 RB, 1 TE, 2 WR",7,"3 DL, 4 LB, 4 DB",right,2017-10-03T02:15:03.000Z,2017-10-03T02:15:01.000Z,4,WR,KC,WAS,4,False,False,home,True,KC,offense,4.4000000000000004,0.21188297119211161,32.049999999999997,35.560000000000002,0.21188297119211161,4.3016012913580042,0.92532498625463966,-6.6799999999999962,-10.010000000000002,-0.44347837441940419,2.2550661151341802,1,31,31
